iter	Passed	Remaining
0	8	1687
1	11	1121
2	14	926
3	16	828
4	19	769
5	22	730
6	25	701
7	28	676
8	30	657
9	33	641
10	36	629
11	39	618
12	42	608
13	45	600
14	48	592
15	50	584
16	53	578
17	56	572
18	59	568
19	62	564
20	65	558
21	68	552
22	71	546
23	73	540
24	76	533
25	78	528
26	81	522
27	84	517
28	86	511
29	89	505
30	91	499
31	94	494
32	96	489
33	99	484
34	101	479
35	104	474
36	106	469
37	109	464
38	111	460
39	114	456
40	116	451
41	118	447
42	121	443
43	123	439
44	126	435
45	128	431
46	131	427
47	133	423
48	136	420
49	138	416
50	141	413
51	143	409
52	146	406
53	148	402
54	151	398
55	153	395
56	156	392
57	158	388
58	161	385
59	163	382
60	166	378
61	168	375
62	171	372
63	173	368
64	176	365
65	178	362
66	180	359
67	183	356
68	185	353
69	188	350
70	190	346
71	193	343
72	195	340
73	198	337
74	200	334
75	203	331
76	205	328
77	208	325
78	210	322
79	213	320
80	215	317
81	218	314
82	220	311
83	223	308
84	225	305
85	228	302
86	230	299
87	233	296
88	235	293
89	238	291
90	240	288
91	243	285
92	245	282
93	248	279
94	250	276
95	252	274
96	255	271
97	257	268
98	260	265
99	262	262
100	265	260
101	267	257
102	270	254
103	272	251
104	275	248
105	277	246
106	280	243
107	282	240
108	284	237
109	287	235
110	289	232
111	292	229
112	294	226
113	297	224
114	299	221
115	302	218
116	304	215
117	306	213
118	309	210
119	311	207
120	314	205
121	316	202
122	319	199
123	321	197
124	323	194
125	326	191
126	328	188
127	331	186
128	333	183
129	335	180
130	338	178
131	340	175
132	343	172
133	345	170
134	348	167
135	350	164
136	352	162
137	355	159
138	357	156
139	360	154
140	362	151
141	364	149
142	367	146
143	369	143
144	372	141
145	374	138
146	376	135
147	379	133
148	381	130
149	384	128
150	386	125
151	389	122
152	391	120
153	393	117
154	396	115
155	398	112
156	401	109
157	403	107
158	405	104
159	408	102
160	410	99
161	413	96
162	415	94
163	417	91
164	420	89
165	422	86
166	425	84
167	427	81
168	429	78
169	432	76
170	434	73
171	437	71
172	439	68
173	442	66
174	444	63
175	447	60
176	449	58
177	452	55
178	454	53
179	456	50
180	459	48
181	461	45
182	464	43
183	466	40
184	468	38
185	471	35
186	473	32
187	476	30
188	478	27
189	480	25
190	483	22
191	485	20
192	487	17
193	490	15
194	492	12
195	495	10
196	497	7
197	499	5
198	502	2
199	504	0
