iter	RMSE
0	0.9595292207
1	0.9304389409
2	0.9033030722
3	0.8739240814
4	0.8458418445
5	0.8224137359
6	0.7953732125
7	0.7758653488
8	0.7549246977
9	0.7347174131
10	0.7152101004
11	0.7005089171
12	0.6852037376
13	0.6657522131
14	0.6516953384
15	0.6379623905
16	0.6219167064
17	0.608274257
18	0.5942376964
19	0.5835660182
20	0.5717269802
21	0.5591910369
22	0.5494026798
23	0.5384756538
24	0.528820278
25	0.5163401997
26	0.5065384367
27	0.495465647
28	0.4843043726
29	0.4763909232
30	0.4670974419
31	0.457570402
32	0.4502308152
33	0.4419015534
34	0.4345374936
35	0.4263694314
36	0.4189534255
37	0.4127817004
38	0.4059427665
39	0.4000825234
40	0.3948304367
41	0.3884360545
42	0.3831438255
43	0.3776486876
44	0.3718617153
45	0.3670672212
46	0.3620647347
47	0.3575437059
48	0.3520713788
49	0.347774745
50	0.3426866468
51	0.3382370727
52	0.3336037764
53	0.3281203729
54	0.3242365234
55	0.3207847448
56	0.3175247764
57	0.3138153613
58	0.3107564974
59	0.3071330524
60	0.3031476685
61	0.2995934824
62	0.2964316874
63	0.2922315063
64	0.2893802038
65	0.2865504068
66	0.2835318645
67	0.2810761427
68	0.2788788144
69	0.2754382696
70	0.2720328514
71	0.2696531583
72	0.2670128834
73	0.2638518841
74	0.2609971298
75	0.2580508248
76	0.2558352137
77	0.2532837863
78	0.2510176277
79	0.2487273196
80	0.24642174
81	0.2446736179
82	0.2425373671
83	0.2404604547
84	0.2390281749
85	0.2374168073
86	0.2351575975
87	0.2332394324
88	0.2319386013
89	0.22989983
90	0.2278502367
91	0.2258095819
92	0.2236633237
93	0.2223012137
94	0.2209270992
95	0.2187746518
96	0.216698757
97	0.2153084557
98	0.2135736851
99	0.2122047002
100	0.2105394145
101	0.209169459
102	0.207740248
103	0.2057610944
104	0.2043485393
105	0.203336378
106	0.2018459511
107	0.2005028354
108	0.1987014362
109	0.1967549821
110	0.195531775
111	0.1939670323
112	0.1923430725
113	0.190658898
114	0.1894467915
115	0.1878212957
116	0.1863245587
117	0.1848070595
118	0.1831786633
119	0.182119947
120	0.1809337781
121	0.1794449077
122	0.1780787291
123	0.176696649
124	0.1756032661
125	0.1746958033
126	0.173624996
127	0.1724291467
128	0.1716719533
129	0.1706860795
