iter	Passed	Remaining
0	10	2169
1	13	1378
2	16	1108
3	19	968
4	22	887
5	25	831
6	28	789
7	31	758
8	34	732
9	37	712
10	40	694
11	43	678
12	46	666
13	49	654
14	52	644
15	55	635
16	58	626
17	61	618
18	64	611
19	67	603
20	70	597
21	73	591
22	76	585
23	79	579
24	81	573
25	84	568
26	87	563
27	90	558
28	93	553
29	96	548
30	99	544
31	102	538
32	105	534
33	108	530
34	111	525
35	114	521
36	117	517
37	120	512
38	122	506
39	125	501
40	127	495
41	130	490
42	132	484
43	135	479
44	137	474
45	140	469
46	142	463
47	144	458
48	147	454
49	149	449
50	152	444
51	154	440
52	157	435
53	159	431
54	161	426
55	164	422
56	166	418
57	169	414
58	171	410
59	174	406
60	176	402
61	178	398
62	181	394
63	183	390
64	186	386
65	188	382
66	190	379
67	193	375
68	195	371
69	198	368
70	200	364
71	203	361
72	205	357
73	207	354
74	210	350
75	212	347
76	215	343
77	217	340
78	220	337
79	222	333
80	224	330
81	227	327
82	229	323
83	232	320
84	234	317
85	236	314
86	239	310
87	241	307
88	244	304
89	246	301
90	248	298
91	251	295
92	253	291
93	256	288
94	258	285
95	260	282
96	263	279
97	265	276
98	268	273
99	270	270
100	272	267
101	275	264
102	277	261
103	280	258
104	282	255
105	285	252
106	287	249
107	289	246
108	292	243
109	294	241
110	296	238
111	299	235
112	301	232
113	303	229
114	306	226
115	308	223
116	311	220
117	313	217
118	315	214
119	318	212
120	320	209
121	322	206
122	325	203
123	327	200
124	330	198
125	332	195
126	334	192
127	337	189
128	339	186
129	341	184
130	344	181
131	346	178
132	348	175
133	351	172
134	353	170
135	355	167
136	358	164
137	360	161
138	362	159
139	365	156
140	367	153
141	370	151
142	372	148
143	374	145
144	377	143
145	379	140
146	381	137
147	384	134
148	386	132
149	388	129
150	391	126
151	393	124
152	395	121
153	398	118
154	400	116
155	402	113
156	405	110
157	407	108
158	409	105
159	412	103
160	414	100
161	416	97
162	419	95
163	421	92
164	424	89
165	426	87
166	428	84
167	431	82
168	433	79
169	435	76
170	438	74
171	440	71
172	442	69
173	445	66
174	447	63
175	450	61
176	452	58
177	454	56
178	457	53
179	459	51
180	461	48
181	464	45
182	466	43
183	469	40
184	471	38
185	473	35
186	476	33
187	478	30
188	480	27
189	483	25
190	485	22
191	487	20
192	490	17
193	492	15
194	495	12
195	497	10
196	499	7
197	502	5
198	504	2
199	506	0
